person_id,name
3748,Robert De Niro
14658,Jodie Foster
7064,Albert Brooks
3739,Harvey Keitel
48933,Cybill Shepherd
32267,Peter Boyle
519612,Leonard Harris
29068,Diahnne Abbott
519613,Gino Ardito
3308,Martin Scorsese
43791,Murray Moston
519614,Richard Higgs
519615,Bill Minkin
82426,Bob Maroff
20935,Victor Argo
7753,Joe Spinell
43279,Robinson Frank Adu
519616,Brenda Dickson
8424,Norman Matlock
20447,Harry Northup
519618,Harlan Cary Poe
49567,Steven Prince
15551,Peter Savage
475303,Nicholas Shields
43540,Ralph S. Singleton
466061,Annie Gagen
212023,Carson Grant
5367,Mary-Pat Green
17421,Debbi Morgan
38141,Don Stroud
811415,Copper Cunningham
1141852,Garth Avery
1662310,Nat Grant
1393387,Billie Perkins
9446,Catherine Scorsese
9451,Charles Scorsese
10103,Jon Voight
13020,Burt Reynolds
6639,Ned Beatty
11224,Ronny Cox
24509,Ed Ramey
80069,Billy Redden
84032,Seamon Glass
84031,Randall Deal
7918,Bill McKinney
197405,Herbert 'Cowboy' Coward
618692,Lewis Crone
618691,Ken Keener
498130,Johnny Popwell
618690,John Fowler
217036,Kathy Rickman
618689,Louise Coldren
618688,Pete Ware
24510,James Dickey
53804,Macon McCalman
618687,Hoyt Pollard
37993,Belinda Beatty
100262,Charley Boorman
17727,John Boorman
11472,Graham Chapman
1549,John Cleese
11474,Eric Idle
11473,Terry Gilliam
11475,Terry Jones
11476,Michael Palin
40898,Connie Booth
11478,Carol Cleveland
11482,Neil Innes
40899,Bee Duffell
11481,John Young
40900,Rita Davies
40901,Avril Stewart
40902,Sally Kinghorn
40903,Mark Zycon
1275018,Elspeth Cameron
1462970,Mitsuko Forstater
589811,Sandy Johnson
976111,Sandy Rose
1462971,Romilly Squire
90024,Joni Flynn
1462991,Alison Walker
1462993,Loraine Ward
1462994,Anna Lanski
1462623,Sally Coombe
1462995,Vivienne MacDonald
1462975,Yvonne Dick
1462978,Daphne Darling
703435,Fiona Gordon
1463011,Judy Lamb
1462986,Tracy Sneddon
1462588,Joyce Pollner
889417,Mary Allen
1464056,Gloria Graham
1671807,Sylvia Taylor
11490,Julian Doyle
84047,Margarita Doyle
1463016,Zack Matalon
1463018,Scott Mike
1463021,William Palin
919694,Tom Raeburn
400172,Brian Ross
14908,Roy Forge Smith
8327,John Thornton
156072,Maggie Weston
35196,Lee Marvin
1050,Ernest Borgnine
16868,Charles Bronson
14351,Jim Brown
35197,John Cassavetes
35200,Richard Jaeckel
1061,George Kennedy
35198,Trini López
21482,Ralph Meeker
24126,Robert Ryan
21838,Telly Savalas
